variant,source,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_50,hit_liquidity,t50_px,t100_px,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after,signal_id,final_verdict,rejected_by,filter_pd,filter_qt,filter_qt_phase,filter_mo_bias,filter_hrl,run_id,is_backtest
m5_cisd,mt5,2026-06-15 07:20:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,1.16077,1.16123,0.00045999999999990493,stop,False,False,1.160385,1.15941,1.15903,1.158625,1.15741,0.46,-1.39,-1.174,,,,bb9910946ebd,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-16 02:55:00-04:00,,EURUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.1587399999999999,1.1581299999999999,0.0006099999999999994,liquidity,True,True,1.158985,1.15982,1.1590200000000002,1.1592800000000003,1.1600600000000003,2.0,-0.38,1.639,,,,f43059a6f2f4,rejected,pd,fail,pass,Manipulation,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-16 05:25:00-04:00,,EURUSD,opening_gap_sweep,NWOG_High,bearish_sweep,1.16016,1.16095,0.0007899999999998464,stop,False,False,1.1589,1.15886,1.15436,1.15358,1.15124,0.23,-1.08,-1.101,,,,baa99f6cd1c5,rejected,mo_bias,pass,pass,Manipulation,fail,pass,8197109777,true
m5_cisd,mt5,2026-06-16 08:00:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,1.15964,1.15999,0.0003500000000000725,stop,False,False,1.158985,1.15815,1.1602700000000001,1.1601050000000002,1.1596100000000003,1.46,-1.57,-1.229,,,,78d2c7f21f8b,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-16 09:50:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,1.15941,1.16036,0.0009500000000000064,stop,False,False,1.1585450000000002,1.15757,1.15983,1.1596899999999999,1.1592699999999998,0.66,-1.52,-1.084,,,,187984cb7893,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-16 10:45:00-04:00,,EURUSD,crt_range_sweep,CRT_9AM_CRT_5AM_Low,bullish_sweep,1.15987,1.15878,0.0010900000000000354,liquidity,True,True,1.160215,1.1613,1.1628400000000003,1.1634600000000004,1.1653200000000006,1.63,-0.01,1.239,,,,463d96bf5752,rejected,pd,fail,pass,Distribution,pass,fail,8197109777,true
m5_cisd,mt5,2026-06-16 10:45:00-04:00,,EURUSD,opening_gap_sweep,NWOG_Low,bullish_sweep,1.15987,1.15878,0.0010900000000000354,expired,,False,,1.16205,1.1635000000000002,1.1642850000000002,1.1666400000000003,1.94,-0.01,0.78,,,,97ee72061a32,rejected,pd,fail,pass,Distribution,pass,pass,8197109777,true
m5_cisd,mt5,2026-06-17 03:25:00-04:00,,EURUSD,opening_gap_sweep,NDOG_High,bearish_sweep,1.16069,1.1615,0.0008099999999999774,liquidity,,True,,1.15907,1.1603100000000002,1.1601100000000002,1.1595100000000003,2.05,-0.27,1.901,50.0,95.06,5095.06,3887311a7141,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m5_managed,mt5,2026-06-17 03:25:00-04:00,,EURUSD,opening_gap_sweep,NDOG_High,bearish_sweep,1.16069,1.1615,0.0008099999999999774,liquidity,,True,,1.15907,1.1603100000000002,1.1601100000000002,1.1595100000000003,2.05,-0.27,1.901,50.0,95.06,5095.06,3887311a7141,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m5_ote,mt5,2026-06-17 02:25:00-04:00,,EURUSD,opening_gap_sweep,NDOG_High,bearish_sweep,,,,no_ote_entry,,,,,,,,,,,,,,3887311a7141,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m5_sb,mt5,2026-06-17 02:25:00-04:00,,EURUSD,opening_gap_sweep,NDOG_High,bearish_sweep,,,,no_ote_entry,,,,,,,,,,,,,,3887311a7141,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m1_ote,mt5,2026-06-17 02:25:00-04:00,,EURUSD,opening_gap_sweep,NDOG_High,bearish_sweep,,,,no_ote_entry,,,,,,,,,,,,,,3887311a7141,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m5_cisd,mt5,2026-06-17 02:40:00-04:00,,EURUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.16072,1.16039,0.00032999999999994145,stop,True,False,1.161045,1.16167,1.16375,1.16431,1.16599,2.36,-2.15,-1.242,,,,59e38778f3eb,rejected,pd,fail,pass,Manipulation,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-17 03:05:00-04:00,,EURUSD,crt_range_sweep,CRT_1AM_CRT_9PM_Asia_Low,bullish_sweep,1.16123,1.16067,0.0005599999999998939,stop,,False,,1.16162,1.16363,1.16417,1.1657899999999999,0.48,-1.39,-1.143,,,,99c6a395feb8,rejected,pd,fail,pass,Manipulation,fail,fail,8197109777,true
